ID,X,Y,Z,M,T,O,Fecha

1.0,731.0,780.0,-18.0,4.5,85866.75,0.0,2/2/1735
2.0,675.0,625.0,-2.0,7.0,122013.5,0.0,20/1/1834
3.0,1174.0,1366.0,-20.0,7.5,137106.75,0.0,18/5/1875
4.0,455.0,1269.0,-60.0,7.9,147581.0,0.0,20/1/1904
5.0,1009.0,934.0,-38.0,7.3,152552.25,0.0,31/8/1917
6.0,1342.0,769.0,-600.0,7.6,154151.5,0.0,16/1/1922
7.0,953.0,1000.0,-129.0,5.8,161582.5,0.0,22/5/1942
8.0,831.0,1001.0,-174.0,6.9,168734.25,0.0,20/12/1961



12.0,1119.0,1244.0,-160.0,6.8,170781.75,0.0,29/7/1967
13.0,610.0,1179.0,-8.0,6.6,171936.5,0.0,26/9/1970
14.0,549.0,1041.0,-50.0,6.5,172877.25,0.0,24/4/1973

16.0,601.0,1350.0,-11.0,7.3,173322.5,0.0,13/7/1974
17.0,755.0,1304.0,-32.0,6.5,174467.25,0.0,31/8/1977






24.0,692.0,1275.0,-10.0,7.4,179994.0,0.0,18/10/1992
25.0,780.0,815.0,-8.0,6.8,180590.5,0.0,6/6/1994
26.0,1129.0,1050.0,-15.0,6.5,180817.75,0.0,19/1/1995
27.0,717.0,946.0,-73.0,6.4,180837.75,0.0,8/2/1995
28.0,817.0,985.0,-16.0,6.2,182284.75,0.0,25/1/1999
29.0,619.0,1012.0,-15.0,7.2,184405.0,0.0,15/11/2004

31.0,567.0,822.0,-31.0,6.8,185434.75,0.0,10/9/2007

33.0,631.0,617.0,-142.0,7.0,187413.25,0.0,9/2/2013
34.0,715.0,996.0,-54.0,5.6,187743.5,0.0,5/1/2014

36.0,646.0,606.0,-7.0,4.9,189362.5,0.0,12/6/2018
37.0,1034.0,1021.0,-17.0,6.97,104289.25,0.0,12/7/1785
38.0,1234.0,1394.0,2.0,5.53,119611.75,0.0,24/6/1827
39.0,1350.0,1466.0,4.0,6.22,122217.5,0.0,12/8/1834
40.0,1207.0,1355.0,1.0,6.13,126061.25,0.0,19/2/1845
41.0,1271.0,1676.0,0.0,4.93,127595.25,0.0,3/5/1849
42.0,1256.0,1414.0,1.0,4.93,134156.75,0.0,20/4/1867
43.0,1203.0,1368.0,1.0,6.22,134825.25,0.0,17/2/1869
44.0,1086.0,1343.0,1.0,6.09,134842.25,0.0,6/3/1869
45.0,1464.0,1578.0,1.0,6.16,135319.5,0.0,26/6/1870

47.0,1437.0,1447.0,0.0,4.93,140053.75,0.0,12/6/1883
48.0,881.0,1045.0,-118.0,6.52,140566.0,0.0,6/11/1884
49.0,1404.0,1522.0,-12.0,5.82,141258.5,0.0,29/9/1886
50.0,1471.0,1512.0,-45.0,6.42,142038.0,0.0,17/11/1888
51.0,1420.0,1563.0,1.0,6.16,144216.5,0.0,4/11/1894
52.0,1524.0,1607.0,0.0,5.53,145929.75,0.0,14/7/1899
53.0,1292.0,1429.0,1.0,5.2,147341.0,0.0,26/5/1903
54.0,764.0,1252.0,-19.0,5.75,147530.0,0.0,1/12/1903

56.0,1392.0,1600.0,1.0,6.05,148244.0,0.0,14/11/1905
57.0,1325.0,1581.0,0.0,4.86,149890.0,0.0,18/5/1910
58.0,1350.0,1455.0,4.0,5.96,149968.0,0.0,4/8/1910
59.0,1009.0,1487.0,-100.0,7.21,150217.0,0.0,10/4/1911
60.0,1343.0,492.0,-600.0,7.11,150235.0,0.0,28/4/1911
61.0,1438.0,1511.0,1.0,5.71,150655.0,0.0,21/6/1912
62.0,1454.0,603.0,-600.0,6.52,153029.0,0.0,21/12/1918
63.0,1229.0,1377.0,3.0,6.32,153231.0,0.0,11/7/1919
64.0,1285.0,1801.0,0.0,6.35,154087.0,0.0,13/11/1921
65.0,1306.0,68.0,-540.0,7.3,154122.0,0.0,18/12/1921
66.0,1298.0,157.0,-475.0,7.9,154152.0,0.0,17/1/1922
67.0,1077.0,1007.0,-18.0,6.25,154856.0,0.0,22/12/1923
68.0,611.0,1292.0,-20.0,6.42,155053.0,0.0,6/7/1924
69.0,861.0,965.0,-13.0,6.29,155389.0,0.0,7/6/1925

71.0,1317.0,1438.0,1.0,5.71,155880.0,0.0,11/10/1926
72.0,1378.0,1525.0,1.0,5.2,156722.0,0.0,30/1/1929
73.0,1515.0,1590.0,1.0,5.71,156767.0,0.0,16/3/1929
74.0,1515.0,1590.0,1.0,5.71,156768.0,0.0,17/3/1929
75.0,1269.0,1669.0,0.0,5.2,157092.0,0.0,4/2/1930
76.0,953.0,1266.0,-220.0,6.09,157206.0,0.0,29/5/1930
77.0,1490.0,1390.0,-25.0,6.32,157543.0,0.0,1/5/1931
78.0,1250.0,1417.0,-24.0,6.09,158461.0,0.0,4/11/1933
79.0,787.0,1100.0,-78.0,6.51,159144.0,0.0,18/9/1935
80.0,786.0,934.0,3.0,5.76,159183.0,0.0,27/10/1935
81.0,508.0,736.0,-65.0,6.52,159755.0,0.0,21/5/1937
82.0,789.0,1488.0,-100.0,6.09,159881.0,0.0,24/9/1937
83.0,848.0,1112.0,-126.0,7.01,160014.0,0.0,4/2/1938
84.0,898.0,1321.0,-100.0,5.96,160101.0,0.0,2/5/1938
85.0,898.0,989.0,-19.0,5.96,161582.0,0.0,22/5/1942
86.0,770.0,1515.0,-35.0,6.75,161800.0,0.0,26/12/1942
87.0,1493.0,1592.0,1.0,4.93,162091.0,0.0,13/10/1943
88.0,1335.0,1821.0,0.0,6.52,162161.0,0.0,22/12/1943
89.0,842.0,768.0,-99.0,6.09,162300.0,0.0,9/5/1944
90.0,510.0,1224.0,0.0,6.61,162612.0,0.0,17/3/1945
91.0,731.0,768.0,-98.0,6.52,162726.0,0.0,9/7/1945
92.0,1269.0,1681.0,0.0,4.93,163315.0,0.0,18/2/1947
93.0,642.0,645.0,-18.0,5.68,163461.0,0.0,14/7/1947
94.0,953.0,1067.0,-130.0,5.42,163850.0,0.0,6/8/1948
95.0,1391.0,1432.0,0.0,4.93,164006.0,0.0,9/1/1949
96.0,1281.0,1432.0,1.0,4.93,164072.0,0.0,16/3/1949
97.0,1281.0,1432.0,1.0,4.93,164057.0,0.0,1/3/1949
98.0,853.0,1001.0,-125.0,6.09,164462.0,0.0,10/4/1950
99.0,1134.0,1333.0,-19.0,6.3,164552.0,0.0,9/7/1950
100.0,1182.0,1379.0,-84.0,5.31,164577.0,0.0,3/8/1950
101.0,1468.0,1568.0,-14.0,6.4,164577.0,0.0,3/8/1950


104.0,1375.0,1521.0,1.0,5.53,164580.0,0.0,6/8/1950

106.0,1637.0,1491.0,0.0,4.93,164581.0,0.0,7/8/1950



110.0,1524.0,1607.0,0.0,4.93,164940.0,0.0,1/8/1951
